# original datafile SHCI.csv from https://github.com/isi-usc-edu/HRLcandidateBenchmarkData/blob/9417df9392eacfa55ef791f8c9c09da654650eb1/QB%20Phase%20I/mol_db/SHCI.csv
# Source paper: https://doi.org/10.1063/5.0018577
# These values (in Hartree) are from that paper's SHCI calculations
# The values associated with task UUIDS are collected at the end of the file
system,basis,SHCI,uncertainty
o2,5z,-150.19074981518338,0.0002306053307847833
h2_o2,2z,-151.195410841039,9.299741776658266e-06
h2_o2,3z,-151.35987577588998,3.8452352896456425e-05
h2_o2,4z,-151.40946009022954,0.00032551602120634016
h2_o2,5z,-151.42621266619233,0.0010552682332445331
f2,2z,-199.0993683699105,4.3203978066230775e-06
f2,3z,-199.2976230688276,2.141021005286348e-05
f2,4z,-199.3605311277988,8.89162066641802e-06
f2,5z,-199.3825715823544,7.278811040123401e-06
c_o2,2z,-188.1495381960868,6.320849905705472e-05
c_o2,3z,-188.32872345662585,7.55053324326127e-05
c_o2,4z,-188.38622178446147,2.7602689584682594e-05
c_o2,5z,-188.40448667227705,0.00018267550515815856
na2,2z,-323.7308349290517,0.0
na2,3z,-323.7421869969087,0.0
na2,4z,-323.74370271297147,0.0
na2,5z,-323.744316,2.868282763301977e-06
si2,2z,-577.9290782139,7.3442e-06
si2,3z,-577.9807015412999,1.79871e-05
si2,4z,-577.9950045862,1.91226e-05
si2,5z,-577.9997237021,1.1629e-06
p2,2z,-681.726295822357,2.628662173265184e-06
p2,3z,-681.8099472542586,1.6205640235966712e-05
p2,4z,-681.8350232850137,2.159959149139468e-05
p2,5z,-681.8439443315651,4.843215060645889e-05
s2,2z,-795.3317143073973,1.8191598769590197e-05
s2,3z,-795.4573390919555,6.384519315361104e-05
s2,4z,-795.4939147101953,3.2939244874796714e-05
s2,5z,-795.5068854547435,7.925199042801978e-06
cl2,2z,-919.2640150271372,4.414305033151322e-05
cl2,3z,-919.4281753393263,0.00013622008339098102
cl2,4z,-919.4778442931239,5.395954258347047e-05
cl2,5z,-919.4946400346021,6.551899548412621e-05
na_cl,2z,-621.589074729701,1.6307877785948222e-06
na_cl,3z,-621.6791687419825,5.232796752352442e-06
na_cl,4z,-621.7073899161356,5.033428919887228e-06
na_cl,5z,-621.716872,3.724623866219191e-06
si_o,2z,-364.08217874322787,3.5986926150144423e-06
si_o,3z,-364.19634823924537,9.698221674625527e-06
si_o,4z,-364.23054008377295,1.1122854118639225e-05
si_o,5z,-364.2428679417141,2.091566886974761e-05
c_s,2z,-435.60612732141794,2.279076238664857e-05
c_s,3z,-435.69482215457083,5.239849292593135e-05
c_s,4z,-435.7220422739399,4.1291308150448465e-05
c_s,5z,-435.73152841880614,0.0006965323685790281
s_o,2z,-472.66311664335745,1.1908472743016318e-05
s_o,3z,-472.8112760168645,6.463367975584333e-05
s_o,4z,-472.8544144883867,6.347207340695604e-05
s_o,5z,-472.8702966800532,4.97701940389561e-05
cl_o,2z,-534.5740631328256,2.659382982983516e-05
cl_o,3z,-534.7361438126287,0.00010104900013629958
cl_o,4z,-534.7852272484815,0.00010185917926719412
cl_o,5z,-534.8025593362809,0.0001275630445434217
cl_f,2z,-559.1944176025995,3.95421511711902e-06
cl_f,3z,-559.3810820829203,1.7911119812197285e-05
cl_f,4z,-559.439449822172,9.875027672023863e-06
cl_f,5z,-559.4597064099487,1.4104379602031257e-05
si2_h6,2z,-581.6123803081928,0.00010110559526310679
si2_h6,3z,-581.6966080988087,0.00016515786285253853
si2_h6,4z,-581.7225780085255,0.0003362800598551985
si2_h6,5z,-581.7299647003458,0.0002230949199883981
c_h3_cl,2z,-499.44058655513015,1.1821853036053653e-05
c_h3_cl,3z,-499.56723973244254,5.8534841684831924e-05
c_h3_cl,4z,-499.60444376253633,9.307427336580075e-05
c_h3_cl,5z,-499.61617349648697,0.00033038999362133836
h3_c_s_h,2z,-438.05567702124534,2.1539678357385128e-05
h3_c_s_h,3z,-438.1705208967797,6.897530073501912e-05
h3_c_s_h,4z,-438.20248110038597,0.00042046476261248245
h3_c_s_h,5z,-438.21318096697235,0.00012906229284226356
h_o_cl,2z,-535.2295951475559,8.737601888242352e-06
h_o_cl,3z,-535.3960453601376,4.00962368303226e-05
h_o_cl,4z,-535.4461898097848,0.00021575355310687883
h_o_cl,5z,-535.4634434400028,0.00046873145834069874
s_o2,2z,-547.7175416014352,0.00013484548071573954
s_o2,3z,-547.9732135046387,0.0002907329431991457
s_o2,4z,-548.0495524893928,0.0006214196938572059
s_o2,5z,-548.0800790839791,0.0003122332964267116

molecule_name,task_uuid,original_reference_energy
h2_o_cc-pVDZ,80d75334-b878-41ec-99a8-b21277f3df60,-76.24166946152931
h2_o_cc-pVQZ,5e576716-0df8-4712-8f03-ea1ac3808e35,-76.36018684173865
h2_o_cc-pVTZ,4e395cc5-b5d2-4b82-95a2-1276262386c8,-76.33261029487801
c_h4_cc-pVDZ,443371ce-c80d-450d-b281-ac1c4d5ecc4d,-40.38737419508231
c_h4_cc-pVTZ,f936469c-1d1e-4295-a006-84a778c1714c,-40.43861773402711
cl2_cc-pVDZ,c01649e2-8c5c-4827-a037-1ede2159e558,-919.2640150271372
cl2_cc-pVQZ,214bb702-d7bc-4141-8cf3-f6979ba0f67a,-919.477844293124
cl2_cc-pVTZ,35e4c771-0f4f-4413-b42f-132f1e606cb0,-919.4281753393263
c_s_cc-pVDZ,886855d3-f1a7-4004-a736-417360e81d0a,-435.60612732141794
c_s_cc-pVTZ,57830810-1133-4c19-9a19-30183dd86a9f,-435.6948221545708
li_h_cc-pVDZ,92917287-d937-410c-bb70-c1f34224fab7,-8.014358466118416
li_h_cc-pVQZ,13b4bdcc-1cef-419a-92b1-156febff71d4,-8.023909093090127
li_h_cc-pVTZ,d15db194-aa2d-4de9-8f86-fcffeb82f38b,-8.022302449356395
c_h3_cl_cc-pVDZ,0667179a-19eb-44b9-a544-dae8793fdc3f,-499.44058655513015
c_h3_cl_cc-pVTZ,ae315bef-f3c6-4c84-93c5-0d8ab510ece3,-499.56723973244254
li2_cc-pVDZ,e7d3b8bd-ff6c-44f6-8a9e-b9b75396cee0,-14.90054725426568
li2_cc-pVQZ,aaa24a30-ade6-44a6-b6aa-51bf54c31eef,-14.903673820903151
li2_cc-pVTZ,410cd417-988a-4f7f-99ad-93dda7eacdcb,-14.903161904021912
c_h2_singlet_cc-pVDZ,5f0ac7ac-1dcc-46a6-bfa0-6e76c73a0bdd,-39.02289720285325
c_h2_singlet_cc-pVQZ,6a16e45d-545d-4827-9617-3c83fb323a97,-39.07293234013802
c_h2_singlet_cc-pVTZ,8fa0ddcf-9b98-4144-8250-522f38c28b02,-39.06239642266012
h3_c_o_h_cc-pVDZ,fc3586af-0290-4a4a-81e1-422a1d331a09,-115.4210293277143
h3_c_o_h_cc-pVTZ,7ecc9a42-2b18-4179-81ec-583598fa579b,-115.551639498993
h_cl_cc-pVDZ,fa3bc2a8-8067-4088-909a-2ddfa655ebfb,-460.2549892890326
h_cl_cc-pVQZ,8f39fc4f-91dc-4f67-ab5c-00e8ffc866c4,-460.363072552048
h_cl_cc-pVTZ,f0637f33-3c53-4f01-8cf7-cfd9c6f39a51,-460.3380209658837
c_o_cc-pVDZ,02588640-a5ae-48e6-b28b-f6759886ab70,-113.0563804803896
c_o_cc-pVQZ,7ea61c79-c0e5-453b-8fd0-b176cb8821a7,-113.18898087097106
c_o_cc-pVTZ,a92f6594-5ccc-4385-9cb5-8c21b4407dcf,-113.15675779212764
c2_h4_cc-pVDZ,26423f2e-e3e1-4bbb-b2ff-52bdae87d65b,-78.35588036909999
c2_h4_cc-pVTZ,9757b7c2-d420-4ebb-8da7-38238951a5ca,-78.4398389278
h_c_n_cc-pVDZ,94db0c2c-89f6-4c3d-b886-a3a6a2bdad1d,-93.18988417813952
h_c_n_cc-pVTZ,c5ef4702-fc8d-4168-b594-8d5872fdb523,-93.27651066009084
si_h2_singlet_cc-pVDZ,240f7830-f4e1-4301-b0af-ab8936851796,-290.13802160762725
si_h2_singlet_cc-pVQZ,50de76ad-110a-4c09-836a-64cc60c87f9a,-290.1809752643235
si_h2_singlet_cc-pVTZ,5e1dcd34-1373-4f34-b9df-d738a8cf4db6,-290.17164194607653
si_o_cc-pVDZ,88a6b9fd-e159-4059-9ee5-ba718fd624dc,-364.0821787432279
si_o_cc-pVQZ,cca08104-f5f6-407f-9c62-faadc8f29bec,-364.23054008377295
si_o_cc-pVTZ,8aa559b0-3aae-4850-a2d7-14e037ce26c0,-364.19634823924537
h2_c_o_cc-pVDZ,d58cb72b-e144-4164-aec0-309aaef6394c,-114.2196776531971
h2_c_o_cc-pVTZ,ed09e1bf-40f3-4bf0-b9c7-7bb1990c5cae,-114.33491928834412
si2_h6_cc-pVDZ,109f95c5-8561-458c-8f41-72be596b87e6,-581.6123803081928
n_h3_cc-pVDZ,77c3a92c-066c-4043-a4a1-5e8324014d0b,-56.40247687620448
n_h3_cc-pVTZ,1094e868-f84e-403b-9b54-50802b1cdb60,-56.47363394407086
f2_cc-pVDZ,94fc2317-29af-43a1-aaec-dade9850ca27,-199.0993683699105
f2_cc-pVQZ,fa8e83f2-cec5-4609-9b77-d713608a6b53,-199.3605311277988
f2_cc-pVTZ,3fb371ad-c738-40ae-b9ae-80e5bce8f2ac,-199.2976230688276
n2_h4_cc-pVDZ,828c931b-4d5a-486e-ba26-abb293c1ccef,-111.5710695308248
h2_o2_cc-pVDZ,85743547-31ba-48ff-b854-220e4b9b620f,-151.195410841039
h2_o2_cc-pVTZ,ae328238-7f54-43e2-bf9a-01c60563e578,-151.35987577588998
h3_c_s_h_cc-pVDZ,ff159145-fd97-486b-bf16-fc766b362ea3,-438.0556770212453
p_h3_cc-pVDZ,af399f2b-a4f8-4fec-aca2-7c126ed989a5,-342.6380538513027
p_h3_cc-pVTZ,819ff18a-5aad-46df-83ef-bd209e44936b,-342.69352665378364
n2_cc-pVDZ,b9c35349-927d-47d5-8e0c-e054bbf4e4e0,-109.27696624442844
n2_cc-pVQZ,9eed79e4-b195-4474-b280-fe9166a7a241,-109.40582662890183
n2_cc-pVTZ,666185aa-b65d-4f73-8846-ae9693388d9d,-109.37529859279891
p2_cc-pVDZ,084acde0-d1c7-4721-aa45-acb4832e0998,-681.726295822357
p2_cc-pVQZ,e61df0de-0a97-4204-9fb9-3995c30d7999,-681.8350232850137
p2_cc-pVTZ,23a06c81-be81-4f88-98ab-9e7030c909ef,-681.8099472542586
h_f_cc-pVDZ,b59bd259-4941-4cec-bca5-e2795c35d8e0,-100.2286401848582
h_f_cc-pVQZ,9e3c577f-a25d-42f5-a809-61dfb63a52de,-100.37341675527789
h_f_cc-pVTZ,daa86ad6-bda9-4d47-a50d-4ec34801bd82,-100.33860747196128
c2_h2_cc-pVDZ,2761e36e-f001-42af-8086-f507b5643ec8,-77.11057384518455
c2_h2_cc-pVTZ,b1352b0c-aa96-4f58-a0e2-356d3c43c8a1,-77.18881666659045
h2_s_cc-pVDZ,f2f09d9f-8328-4d4a-ba91-089f9e56bf0d,-398.86551956628944
h2_s_cc-pVQZ,3d5186f9-82b3-4de0-9bc1-242d7bdb678a,-398.9566398132811
h2_s_cc-pVTZ,ec0baf59-05f5-49df-b5e5-8f887d822a10,-398.9364091574969
na2_cc-pVDZ,4fb7e994-8e7a-4acd-86d4-bb52db824cfc,-323.7308349290517
na2_cc-pVQZ,f96de7fe-5c88-4083-8c48-72bc094cccfd,-323.74370271297147
na2_cc-pVTZ,620e9ff4-07bf-4767-9237-d39aa659b8e5,-323.7421869969087
si_h4_cc-pVDZ,2eaee11d-c1a0-4d2b-b29b-a38e658572f2,-291.39318323307475
si_h4_cc-pVTZ,6ca72d49-425b-43f3-96e7-4067bacd0596,-291.4381516390395
na_cl_cc-pVDZ,da831b60-89ce-4c01-96f9-c9f8a4512aab,-621.589074729701
na_cl_cc-pVQZ,a2f9649f-0f47-4a5d-a6a7-b0bebc848797,-621.7073899161356
na_cl_cc-pVTZ,01ec60f7-d38a-4c33-a498-659a388e10ee,-621.6791687419825
c_o2_cc-pVDZ,615c9d78-2b84-4c7b-ab6b-ba05b188f50a,-188.1495381960868
c_o2_cc-pVTZ,a091c1a1-bde2-4a83-bf58-5010f7a8e1d4,-188.32872345662585
be_cc-pVDZ,3fb92ecd-bcbc-43dd-9f29-aa56ea646b75,-14.616842593115484
be_cc-pVQZ,afdc2f74-eb52-41ae-b72a-30e5a4c07013,-14.618950731321249
be_cc-pVTZ,543e2ed4-a12d-495b-a246-1e4d905ad4a3,-14.61842701186015
h_o_cl_cc-pVDZ,bd44e482-057d-42c3-a052-cbd952fa8025,-535.2295951475559
h_o_cl_cc-pVTZ,fea4b4a2-64a1-45c3-a760-83aec702bdca,-535.3960453601376
s_o2_cc-pVDZ,c7cd47fa-1bbd-4859-a0c8-3fd5c287c6db,-547.7175416014352
s_o2_cc-pVTZ,84243fc5-4284-4393-bb1d-b73bf600eb26,-547.9732135046387
li_f_cc-pVDZ,80043b93-039c-4d5a-abcb-84b8f25f7abb,-107.15554124510972
li_f_cc-pVQZ,0485949f-722c-49ee-a748-eec54801f021,-107.30032314741152
li_f_cc-pVTZ,b80345ff-5df9-4fb3-86ab-0a25188b296d,-107.26376537769306
c2_h6_cc-pVDZ,15a25e30-cba9-4f63-80a6-ef95a8c79d41,-79.58310216069334
