,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,one_norm,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,min_edge_order,mean_edge_order,std_dev_edge_order,number_of_terms,log_fci_dim,n_elec,n_orbs,df_rank,df_gap,problem_instance_uuid,problem_instance_short_name,task_uuid,instance_data_object_uuid,instance_data_object_file_name,instance_data_object_url,date_of_calculation,version_of_features_calculation_script,ham_features_calc_time,SHCI_opt-(2dde),DF_QPE-(2610),SHCI_pt_1e-4-(4ed5),SHCI_var_1e-4-(7e73),SHCI_pt_2e-4-(ad96),SHCI_pt_2e-5-(c71b),SHCI_pt_5e-5-(d626),SHCI_var_2e-4-(0db1),SHCI_var_2e-5-(86bf),SHCI_var_5e-5-(0194),DF_QPE-(5dad),CISD-(418f),HF-(5f5e),MP2-(b420),CCSD-(0a29),CCSD(T)-(c092),DF_QPE-(5d76),DF_QPE-(f6b3),DF_QPE-(4b07),DMRG_Niagara_cluster_lowest_energy-(1653)
10,51953,13871,43421.72,11801.3223,160.5197327,1.716137171,1.55e-08,0.00177137,0.021276271,25,1,11.97919862,4.895770561,90620,11.2822752,37,25,293,3.332133518,8a3787cc-d3d0-42a8-d9a9-7de2aed45208,mo_n2_pincer,09b81c3d-aee1-4bc3-98ce-a72da477b108,e701d53e-63fe-47f1-b727-39457c9207e6,fcidump.30_4a_noncan_0.2_new.e701d53e-63fe-47f1-b727-39457c9207e6,sftp://sftp.l3harris.com/gsee/fcidump.30_4a_noncan_0.2_new.e701d53e-63fe-47f1-b727-39457c9207e6.gz,30:38.2,1,104.971738,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True
11,25,9,20.0,5.196152423,60.7848,1.79905,0.5,0.75981,0.51962,13,1,4.0,3.376388603,81,6.520142776,8,16,16,0.0,614c4444-a31a-4348-b24d-01040208651c,hubbard_square,0a4f3801-33b8-4e3f-89a9-d5c7d6ef9b4a,bb8a78a4-b713-4c02-b86d-cb7502090249,FCIDUMP_L_16_Nf_4_U_3.5981_ms_0.bb8a78a4-b713-4c02-b86d-cb7502090249,sftp://sftp.l3harris.com/gsee/FCIDUMP_L_16_Nf_4_U_3.5981_ms_0.bb8a78a4-b713-4c02-b86d-cb7502090249.gz,17:22.7,1,0.035336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,25,9,20.0,5.196152423,96.0,4.0,0.5,1.2,1.4,13,1,4.0,3.376388603,81,6.520142776,8,16,16,0.0,614c4444-a31a-4348-b24d-01040208651c,hubbard_square,0a7cc9c9-c999-4564-b93a-39498416942f,cd729f30-f623-409f-8f06-d46fa971e268,FCIDUMP_L_16_Nf_4_U_8.0_ms_0.cd729f30-f623-409f-8f06-d46fa971e268,sftp://sftp.l3harris.com/gsee/FCIDUMP_L_16_Nf_4_U_8.0_ms_0.cd729f30-f623-409f-8f06-d46fa971e268.gz,17:43.9,1,0.028236,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
13,3452280,240080,2784679.364,892434.3044,5571.688874,22.07387906,1e-08,0.000844095,0.054894285,88,1,37.12465947,17.3240994,6600783,16.32696153,12,88,938,31.11682876,c1e4c7dd-2dc4-4dd0-889d-fb34f602965a,Ti_0,0c023ffe-8453-4f5f-b29e-7863589fb191,7766bf7c-05db-4294-b125-6f0110aa9407,fcidump.Ti0_vtz.7766bf7c-05db-4294-b125-6f0110aa9407,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Ti0_vtz.7766bf7c-05db-4294-b125-6f0110aa9407.gz,09:28.5,1,9098.772117,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2907171,314251,2367519.928,730790.9543,5886.021786,36.62257375,1e-08,0.00106931,0.116138423,69,1,29.67731601,13.69467044,5504504,36.72557893,90,69,171,4.086905897,00043d56-ed63-4266-907c-99c95c51b9db,planted_solution_0002,0deae366-42de-4081-914d-db85c6b47168,16f9288f-be7e-4f8a-ab09-0153263f83c7,fcidump.planted_solution_0002.16f9288f-be7e-4f8a-ab09-0153263f83c7,sftp://sftp.l3harris.com/gsee/planted_solutions/fcidump.planted_solution_0002.16f9288f-be7e-4f8a-ab09-0153263f83c7.gz,56:18.4,1,6570.184472,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,1171255,155597,956258.8909,290920.2021,932.9850024,11.75086532,1e-08,0.000426391,0.019323121,55,1,24.03653176,10.88364793,2188097,26.94695208,78,55,924,6.027759262,a8895776-3583-4884-fbc7-d6f9df21a7ac,fe_red,0e936335-6370-4587-92f0-02eafaf650ed,5f3178b5-0ad3-469a-ae08-e9ecdc637ed3,fcidump.58_5_0.2_old.5f3178b5-0ad3-469a-ae08-e9ecdc637ed3,sftp://sftp.l3harris.com/gsee/fcidump.58_5_0.2_old.5f3178b5-0ad3-469a-ae08-e9ecdc637ed3.gz,25:10.4,1,2516.171822,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,508916,59908,414923.6667,123615.3264,1344.200024,12.30772994,1e-08,0.001417279,0.05770972,54,1,23.62400244,10.91578315,948438,14.74825184,13,54,501,19.90900933,a14a1e28-71c5-4e23-bf6e-dd9662a6df58,V_0,0f0c8766-4bf5-4c1e-991a-9dafe9bc8f27,950e31e2-142f-480b-b0d1-174381bdb64a,fcidump.V0_vdz.950e31e2-142f-480b-b0d1-174381bdb64a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.V0_vdz.950e31e2-142f-480b-b0d1-174381bdb64a.gz,43:04.2,1,1284.194642,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
17,3633496,258654,2946731.909,931577.9947,8683.864358,32.79656355,1e-08,0.001245043,0.074728492,88,1,37.17872808,17.35138941,6974753,23.51380501,19,88,948,47.01080745,1448d27d-bfa9-470f-a6c8-864a295b66f4,Cu_0,0f5171c4-cf55-4a82-99a2-c72edebce9c9,e304b6b5-b820-470d-a8b5-92d6354abd16,fcidump.Cu0_vtz.e304b6b5-b820-470d-a8b5-92d6354abd16,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cu0_vtz.e304b6b5-b820-470d-a8b5-92d6354abd16.gz,35:44.5,1,8289.955709,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
18,5265899,302143,4248993.489,1360585.795,12932.65786,36.84364215,1e-08,0.001263907,0.094061646,135,1,56.05922361,26.88954523,10232289,15.66160709,10,135,1463,48.19890257,c6ab4ddb-efe8-46d6-9fc4-90901c08d9a7,Sc_1,10119019-eea2-45c9-a748-e206780c4235,cfc29172-5c9c-4e13-9a31-17895ed89c95,fcidump.Sc1_vqz.cfc29172-5c9c-4e13-9a31-17895ed89c95,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Sc1_vqz.cfc29172-5c9c-4e13-9a31-17895ed89c95.gz,44:25.5,1,18885.21669,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False
19,3463664,240756,2808059.75,877906.3426,6240.795327,23.48626937,1e-08,0.000942916,0.057911125,88,1,37.33549925,17.44595716,6618615,17.39567734,12,88,948,33.27204427,18e1973e-d6cf-48d6-9ca4-c1af21ff7c98,V_1,106deaf8-422f-4e06-bf25-6191abd6eecf,1ddf0c08-d7f1-48b7-8c85-c7e50997c771,fcidump.V1_vtz.1ddf0c08-d7f1-48b7-8c85-c7e50997c771,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.V1_vtz.1ddf0c08-d7f1-48b7-8c85-c7e50997c771.gz,14:42.9,1,7679.982669,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False
20,2786242,211486,2229229.417,715397.4815,4671.513444,15.42497324,1e-08,0.000889368,0.044222923,72,1,30.55703972,14.1353622,5252621,14.29173129,10,72,925,18.12784643,127cfea5-8a7d-45a0-9012-949816a0b8d9,n_h3_0,1094e868-f84e-403b-9b54-50802b1cdb60,3b423f54-aa64-4331-a59b-d6c37de1fbb6,fcidump.n_h3_cc-pVTZ.3b423f54-aa64-4331-a59b-d6c37de1fbb6,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.n_h3_cc-pVTZ.3b423f54-aa64-4331-a59b-d6c37de1fbb6.gz,33:26.3,1,7036.838184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,25,9,20.0,5.196152423,64.0,2.0,0.5,0.8,0.6,13,1,4.0,3.376388603,81,6.900354018,10,16,16,0.0,614c4444-a31a-4348-b24d-01040208651c,hubbard_square,11dee35c-fadc-4813-8393-d81b91abae75,56e75d82-f441-49eb-98e2-05625e301627,FCIDUMP_L_16_Nf_5_U_4.0_ms_2.56e75d82-f441-49eb-98e2-05625e301627,sftp://sftp.l3harris.com/gsee/FCIDUMP_L_16_Nf_5_U_4.0_ms_2.56e75d82-f441-49eb-98e2-05625e301627.gz,17:41.3,1,0.031387,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True
22,31352,9304,26325.90909,6967.255739,122.8372993,1.658187579,2.02e-08,0.002281567,0.026627585,22,1,10.75744349,4.298168882,53840,10.46367289,30,22,253,3.629543828,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,blue_dimer,13821f5c-78a6-485c-9006-a17a234cde9f,d9707874-28d5-48b6-824e-a2e6c8753437,fcidump.43_1_star_noncan_0.2_new.d9707874-28d5-48b6-824e-a2e6c8753437,sftp://sftp.l3harris.com/gsee/fcidump.43_1_star_noncan_0.2_new.d9707874-28d5-48b6-824e-a2e6c8753437.gz,18:50.9,1,61.75538,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
23,3046824,318432,2479117.686,767556.1432,1412.755105,1.747834362,1e-08,0.000244807,0.005201746,70,1,30.0713388,13.89417166,5770886,37.61989499,90,70,1121,6.271101555,90d4e4fc-1216-4846-b45f-198c0530e29b,mo2_n2,138733f0-08f5-4077-b848-813c8ec53c79,f36a9dbc-c34a-401f-8ea6-dc996d785edf,fcidump.14_1_lut_prod_noncan_0.2_new.f36a9dbc-c34a-401f-8ea6-dc996d785edf,sftp://sftp.l3harris.com/gsee/fcidump.14_1_lut_prod_noncan_0.2_new.f36a9dbc-c34a-401f-8ea6-dc996d785edf.gz,42:24.0,1,7089.804667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,2623197,187103,2111631.494,672513.0752,3310.368353,19.9863371,1e-08,0.000665146,0.050096013,85,1,36.06433097,16.8359453,4976904,7.105336432,4,85,926,14.22227771,6d355019-13aa-41fc-a530-31d5f968ba22,li_h_0,13b4bdcc-1cef-419a-92b1-156febff71d4,c21d87dd-9338-4498-8ed6-95b0dacd75b1,fcidump.li_h_cc-pVQZ.c21d87dd-9338-4498-8ed6-95b0dacd75b1,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li_h_cc-pVQZ.c21d87dd-9338-4498-8ed6-95b0dacd75b1.gz,49:12.9,1,6031.062141,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,True
25,17573,5869,14843.63158,3794.630115,78.61445726,0.962667282,1.72e-08,0.002655894,0.017864532,19,1,9.528006757,3.702030042,29601,9.756836759,22,19,189,2.466197748,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,blue_dimer,1a013e9f-7eab-4a1b-b486-1d9e2d99e754,6bf3207c-664b-4ed3-8e74-82b42e277234,fcidump.46_2_noncan_0.2_new.6bf3207c-664b-4ed3-8e74-82b42e277234,sftp://sftp.l3harris.com/gsee/fcidump.46_2_noncan_0.2_new.6bf3207c-664b-4ed3-8e74-82b42e277234.gz,19:28.5,1,34.57942,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
26,5264,2224,4512.0,1052.94797,126.1737303,33.94842378,5.79e-07,0.014884243,0.373938947,14,1,7.451692816,2.71672862,8478,6.779019405,18,14,105,4.881979949,cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8,mn_mono,1ade03f3-06b1-4e95-b271-fea5a6343829,f738fcd6-7ddc-4d70-8ff9-4019e3718b04,fcidump.61_3_15_af_noncan_0.2_new.f738fcd6-7ddc-4d70-8ff9-4019e3718b04,sftp://sftp.l3harris.com/gsee/fcidump.61_3_15_af_noncan_0.2_new.f738fcd6-7ddc-4d70-8ff9-4019e3718b04.gz,28:11.9,1,9.758683,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
27,3634696,258698,2948335.455,931989.7925,8787.69623,32.79678526,1.01e-08,0.001259379,0.074711924,88,1,37.18271088,17.3521063,6977801,23.51380501,18,88,948,47.01080745,d5c7ab73-dfc1-499e-9027-601476004107,Cu_1,1c7f5399-8982-4daf-81a5-7cef4e4588cc,68952c71-d281-40fa-bcd2-cb0352f70a89,fcidump.Cu1_vtz.68952c71-d281-40fa-bcd2-cb0352f70a89,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cu1_vtz.68952c71-d281-40fa-bcd2-cb0352f70a89.gz,13:23.2,1,7886.096136,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
28,175368,35996,145105.6471,41539.37406,389.7278889,2.52953036,1.02e-08,0.001233906,0.021524921,34,1,15.62009695,6.693010933,315850,15.43951178,50,34,485,4.941998262,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,blue_dimer,1c9508e3-b9fe-44f1-ae58-c6339ef43f47,dc406285-bac1-4b99-afbf-06728b7d699b,fcidump.48_2_noncan_0.2_new.dc406285-bac1-4b99-afbf-06728b7d699b,sftp://sftp.l3harris.com/gsee/fcidump.48_2_noncan_0.2_new.dc406285-bac1-4b99-afbf-06728b7d699b.gz,29:21.8,1,345.384669,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,25,9,20.0,5.196152423,64.0,2.0,0.5,0.8,0.6,13,1,4.0,3.376388603,81,7.280565259,10,16,16,0.0,614c4444-a31a-4348-b24d-01040208651c,hubbard_square,1d0de371-0d29-4da9-9e09-f2f25a2a4d77,04bb1db7-6c6a-4b65-96cc-7037ca2e89ae,FCIDUMP_L_16_Nf_5_U_4.0_ms_0.04bb1db7-6c6a-4b65-96cc-7037ca2e89ae,sftp://sftp.l3harris.com/gsee/FCIDUMP_L_16_Nf_5_U_4.0_ms_0.04bb1db7-6c6a-4b65-96cc-7037ca2e89ae.gz,17:38.6,1,0.042237,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True
30,4812996,249436,3843263.729,1267087.124,10307.48,39.05097811,1e-08,0.00111147,0.051944164,118,1,48.90208985,23.35141042,9273738,40.29054419,34,118,1219,13.80410914,0e393c20-3915-42b9-a8aa-29bf53548269,cl2_0,214bb702-d7bc-4141-8cf3-f6979ba0f67a,7b8c2dbd-8966-4eb4-83af-8acb07454e8a,fcidump.cl2_cc-pVQZ.7b8c2dbd-8966-4eb4-83af-8acb07454e8a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVQZ.7b8c2dbd-8966-4eb4-83af-8acb07454e8a.gz,27:55.7,1,25807.67701,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,692198,66282,567563.6471,174586.1388,2041.451608,36.48396485,1e-08,0.00157243,0.058140292,68,1,29.72732188,13.71094092,1298279,29.29406806,30,68,683,6.94257007,2e61ba35-b6b0-42b5-b3e8-d25bd83145ba,p2_0,23a06c81-be81-4f88-98ab-9e7030c909ef,1ffb78a3-162a-43a4-a64c-d1d8fb0bce24,fcidump.p2_cc-pVTZ.1ffb78a3-162a-43a4-a64c-d1d8fb0bce24,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.p2_cc-pVTZ.1ffb78a3-162a-43a4-a64c-d1d8fb0bce24.gz,15:01.5,1,2951.594086,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,6976718,541500,5593825.614,1808029.476,5848.346443,26.35574511,1e-08,0.000438781,0.045013422,88,1,36.93228799,17.23450219,13328627,19.54199921,15,88,948,37.56224388,bc202949-d76c-4962-b937-5c12b298b8b4,Mn_0,24f12fad-130e-44fc-8b07-bc26c5a3d878,07c9da30-e172-4183-a8af-301628b75f1c,fcidump.Mn0_vtz.07c9da30-e172-4183-a8af-301628b75f1c,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Mn0_vtz.07c9da30-e172-4183-a8af-301628b75f1c.gz,15:39.2,1,16687.78527,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
33,253372,32956,206740.5926,61099.10676,1288.736661,12.85969292,1e-08,0.002716613,0.083653304,54,1,23.53331324,10.89378249,474392,16.42930454,15,54,510,21.86708292,bc202949-d76c-4962-b937-5c12b298b8b4,Mn_0,289f5dfe-e6d5-48a3-a6ae-25088321d3c6,a83413fb-96e3-466e-910b-6d4bab7cdf1d,fcidump.Mn0_vdz.a83413fb-96e3-466e-910b-6d4bab7cdf1d,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Mn0_vdz.a83413fb-96e3-466e-910b-6d4bab7cdf1d.gz,57:58.1,1,1324.913539,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
34,5264,2224,4512.0,1052.94797,67.86746275,2.521499634,1.36e-07,0.008006071,0.064279681,14,1,7.451692816,2.71672862,8478,5.122202767,22,14,105,3.277643789,b78a10f2-ce8a-43c0-69ec-4cf666d8e85c,ru_macho,28bd4997-c04c-4914-9984-0101713041fe,587f69a8-4295-4d6d-811e-0eacfbc5f6dd,fcidump.8_melact_0.2_old.587f69a8-4295-4d6d-811e-0eacfbc5f6dd,sftp://sftp.l3harris.com/gsee/fcidump.8_melact_0.2_old.587f69a8-4295-4d6d-811e-0eacfbc5f6dd.gz,04:54.0,1,9.746406,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,True
35,3621804,257624,2930448.045,927851.6765,5902.119506,26.38911396,1e-08,0.000850481,0.062379689,88,1,37.15977905,17.37638337,6939747,18.40107237,14,88,948,37.56224388,11c8be98-d9c9-40ea-8d88-ea8c555028f6,Mn_1,29eecba9-3d4d-4672-8b19-475f53b2f1be,00c757c4-3c99-4521-82b1-3e3a12d49854,fcidump.Mn1_vtz.00c757c4-3c99-4521-82b1-3e3a12d49854,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Mn1_vtz.00c757c4-3c99-4521-82b1-3e3a12d49854.gz,27:57.8,1,8047.303011,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False
36,7,5,6.714285714,0.699854212,39.15669562,1.79690683,0.5,0.932302277,0.611367743,14,1,2.238095238,2.670914983,43,6.000868155,8,14,14,0.0,c2009f9f-4738-4919-9295-5f9231ca5199,hubbard_chain,2abbe64c-f168-4fb6-81b0-66395a637862,a4af0fd0-abc1-4a9f-ad0f-ad7b8662be65,FCIDUMP_L_14_Nf_4_U_3.59381366_ms_0.a4af0fd0-abc1-4a9f-ad0f-ad7b8662be65,sftp://sftp.l3harris.com/gsee/FCIDUMP_L_14_Nf_4_U_3.59381366_ms_0.a4af0fd0-abc1-4a9f-ad0f-ad7b8662be65.gz,16:50.5,1,0.018461,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
